Ticker,Company,Price,Market Cap,TTM EPS,Forward EPS,TTM PE,Forward PE,PEG,PS,EP,Forward EP,10Y Yield,ERP
GOOG,Alphabet Inc.,341.91,4172181667840.0,13.12,14.67422,26.060213,23.300047,1.36,9.875032,0.03837267117077593,0.04291837033137375,0.04657000064849853,-0.0036516303171247808
MSFT,Microsoft Corporation,390.34,2899615154176.0,16.79,19.37881,23.248362,20.142618,1.23,9.110466,0.04301378285597172,0.0496459753035815,0.04657000064849853,0.003075974655082969
META,"Meta Platforms, Inc.",627.17,1592022925312.0,27.49,37.01198,22.814478,16.945055,0.94,7.4060326,0.043831815935073425,0.05901427045298723,0.04657000064849853,0.012444269804488699
AMZN,"Amazon.com, Inc.",244.85,2633878470656.0,8.37,9.91676,29.253286,24.690523,1.3,3.545993,0.03418419440473759,0.04050136818460282,0.04657000064849853,-0.006068632463895711
AAPL,Apple Inc.,325.89,4786462654464.0,8.26,9.63915,39.453995,33.809002,2.64,10.602608,0.02534597563595078,0.029577925066740316,0.04657000064849853,-0.016992075581758217
NVDA,NVIDIA Corporation,212.06,5136305356800.0,6.53,12.86903,32.47473,16.478321,0.57,20.26228,0.030793171743846083,0.06068579647269641,0.04657000064849853,0.014115795824197877
AMD,"Advanced Micro Devices, Inc.",552.33,900629659648.0,2.99,13.49207,184.72575,40.93738,1.28,24.046288,0.0054134303767675125,0.02442755236905473,0.04657000064849853,-0.022142448279443804
AVGO,Broadcom Inc.,396.81,1887855443968.0,5.99,19.46067,66.245415,20.390356,0.43,25.016306,0.015095385700965198,0.0490427912603009,0.04657000064849853,0.002472790611802368
NFLX,"Netflix, Inc.",68.53,285354786816.0,3.18,3.81314,21.550314,17.972065,1.54,5.8993235,0.046403035167080116,0.05564190865314461,0.04657000064849853,0.009071908004646079
