Ticker,Company,Price,Market Cap,TTM EPS,Forward EPS,TTM PE,Forward PE,PEG,PS,EP,Forward EP,10Y Yield,ERP
GOOG,Alphabet Inc.,357.89,4367179055104.0,13.1,14.57146,27.319847,24.561028,1.39,10.336567,0.03660342563357456,0.040714912403252396,0.043720002174377444,-0.003005089771125048
MSFT,Microsoft Corporation,384.28,2854599000064.0,16.79,19.36884,22.887432,19.840115,1.15,8.969027,0.043692099510773394,0.050402935359633604,0.043720002174377444,0.00668293318525616
META,"Meta Platforms, Inc.",612.91,1555824902144.0,27.52,36.24596,22.271437,16.909746,0.81,7.2376404,0.04490055636227179,0.059137491638250314,0.043720002174377444,0.01541748946387287
AMZN,"Amazon.com, Inc.",241.7,2599993475072.0,7.64,9.88054,31.636126,24.462225,1.83,3.5003736,0.03160943318163012,0.040879354571783204,0.043720002174377444,-0.00284064760259424
AAPL,Apple Inc.,294.38,4323663937536.0,8.27,9.60892,35.59613,30.636118,2.34,9.577452,0.028092941096541885,0.032641212038861334,0.043720002174377444,-0.01107879013551611
NVDA,NVIDIA Corporation,197.58,4785584996352.0,6.52,12.76443,30.30368,15.478952,0.61,18.878717,0.03299929142625772,0.06460385666565442,0.043720002174377444,0.020883854491276978
AMD,"Advanced Micro Devices, Inc.",540.88,881959239680.0,2.97,13.17704,182.11447,41.047153,1.3,23.547798,0.005491051619582903,0.024362224522999555,0.043720002174377444,-0.01935777765137789
AVGO,Broadcom Inc.,369.34,1757164732416.0,6.02,19.39578,61.352158,19.042286,0.69,23.2845,0.016299344777170086,0.052514701900687716,0.043720002174377444,0.008794699726310272
NFLX,"Netflix, Inc.",74.19,312399167488.0,3.1,3.84241,23.93226,19.308195,1.4,6.6623845,0.0417846070899043,0.05179148133171587,0.043720002174377444,0.008071479157338426
