Ticker,Company,Status,Method,Data Quality,Current Price,Current TTM EPS,Current TTM PE,Historical EPS Reports Used,PE_90D_Count,PE_90D_Min,PE_90D_Max,PE_90D_Mean,PE_90D_Median,PE_90D_Std,PE_90D_P10,PE_90D_P90,PE_90D_Current_ZScore,PE_90D_Current_Percentile,Value_90D_Min,Value_90D_Max,Value_90D_Mean,Value_90D_Lower_1Std,Value_90D_Upper_1Std,Value_90D_P10,Value_90D_P90,PE_180D_Count,PE_180D_Min,PE_180D_Max,PE_180D_Mean,PE_180D_Median,PE_180D_Std,PE_180D_P10,PE_180D_P90,PE_180D_Current_ZScore,PE_180D_Current_Percentile,Value_180D_Min,Value_180D_Max,Value_180D_Mean,Value_180D_Lower_1Std,Value_180D_Upper_1Std,Value_180D_P10,Value_180D_P90
GOOG,Alphabet Inc.,OK,SEC point-in-time,High,362.1,13.1,27.64122,37,62,25.267346405960915,32.24051702254134,28.9552662230043,29.218705979642895,1.6799278611663655,26.96842149957094,31.22081491927324,-0.7822039585032925,0.2903225806451613,331.002237918088,422.35077299529155,379.31398752135635,357.30693254007696,401.32104250263575,353.2863216443793,408.9926754424794,122,25.267346405960915,34.04738340537852,29.676223745547436,29.29405020358088,1.9976375492358438,27.356995050883572,32.65449124757065,-1.0187051932047857,0.1557377049180328,331.002237918088,446.02072261045856,388.7585310666714,362.58947917168183,414.92758296166096,358.3766351665748,427.77383534317545
MSFT,Microsoft Corporation,OK,SEC point-in-time,High,378.91,16.78,22.581049,67,62,22.31206935670243,27.41190410795666,24.604057317640596,24.57421541107486,1.2639524973116452,23.19493411256791,26.518011516597287,-1.6005414142884473,0.04838709677419355,374.3965238054668,459.97175093151276,412.8560817900092,391.64695888511983,434.0652046948986,389.2109944088896,444.9722332485025,122,22.31206935670243,34.70981429684721,26.61588072770907,25.11874429557403,3.698958970643893,23.320763297495503,33.908676646681634,-1.090801968805485,0.02459016393442623,374.3965238054668,582.4306839010962,446.6144786109582,384.54594708355364,508.68301013836276,391.32240813197456,568.9875941313179
META,"Meta Platforms, Inc.",OK,SEC point-in-time,High,567.58,27.49,20.646782,55,62,20.617453835227273,29.312472873263886,24.033220761447435,22.737272505326704,2.7208130558043315,21.56538174715909,28.57799154893039,-1.244642205102301,0.03225806451612903,566.7738059303977,805.7998792860242,660.6732387321899,585.8780878281289,735.468389636251,592.8323442294034,785.6089876800964,122,20.617453835227273,31.430821522290067,26.10909791497354,27.22584093921283,2.974413990681105,21.914508611505685,29.291939748083205,-1.8364343134772347,0.01639344262295082,566.7738059303977,864.0332836477539,717.7391016826225,635.972461078799,799.5057422864461,602.4298417302913,805.2354236748073
AMZN,"Amazon.com, Inc.",OK,SEC point-in-time,High,237.5,7.77,30.56628,67,62,27.801952069440812,36.818687619857045,31.651533408485296,31.719497972698306,2.4251289532186853,28.89025643705661,34.936540888276895,-0.4475033820551787,0.3709677419354839,216.0211675795551,286.08120280628924,245.93241458393072,227.08916261742155,264.7756665504399,224.47729251592986,271.4569227019115,122,27.72524313614126,36.818687619857045,31.51178144271168,31.719497972698306,2.3579483377473207,28.66513197724623,34.72357096864921,-0.4009848000380581,0.4262295081967213,215.42513916781758,286.08120280628924,244.84654180986973,226.52528322557305,263.1678003941664,222.7280754632032,269.80214642640436
AAPL,Apple Inc.,OK,SEC point-in-time,High,295.95,8.26,35.8293,67,62,31.218987959849684,38.15980777324834,34.703504387251115,34.59493709515922,1.950081244083638,32.01911385451691,37.381477633053684,0.5773070307529214,0.6774193548387096,257.8688405483584,315.20001220703125,286.6509462386942,270.5432751625633,302.7586173148251,264.4778804383097,308.7710052490234,122,31.218987959849684,38.15980777324834,34.423864850681916,34.42623029342849,1.7083211175071429,32.130885256996635,36.69222629741434,0.8226996288431768,0.7704918032786885,257.8688405483584,315.20001220703125,284.3411236666326,270.23039123602365,298.4518560972416,265.4011122227922,303.07778921664243
NVDA,NVIDIA Corporation,OK,SEC point-in-time,High,204.65,6.53,31.339968,65,62,30.692189612395907,48.11020520268654,37.74143885132728,36.40612232441805,4.807445815012896,31.888974293450296,44.72591882822464,-1.3315742075212782,0.016129032258064516,200.41999816894528,314.1596399735431,246.45159569916714,215.05897452713293,277.84421687120135,208.23500213623043,292.06024994830693,79,30.692189612395907,48.11020520268654,37.64187315897667,37.159184047154014,4.273034170005802,32.25727402597985,43.97591789401307,-1.4748080423068828,0.012658227848101266,200.41999816894528,314.1596399735431,245.80143172811768,217.8985185979798,273.7043448582556,210.6399993896484,287.16274384790535
AMD,"Advanced Micro Devices, Inc.",OK,SEC point-in-time,High,512.48,2.99,171.39798,63,62,73.97735595703125,179.42951139856558,127.06336401958642,133.9908448587141,33.425803475309614,77.68075331202094,167.99638791944162,1.3263590212023442,0.9516129032258065,221.19229431152345,536.4942390817112,379.9194584185634,279.97630602738764,479.8626108097392,232.26545240294263,502.30919987913046,122,72.05660262197819,179.42951139856558,110.7139063484845,105.91871891115684,31.969446018107558,75.51811131891215,160.7022915199155,1.8981897158037682,0.9754098360655737,215.4492418397148,536.4942390817112,331.0345799819687,235.44593638782706,426.6232235761103,225.79915284354735,480.49985164454733
AVGO,Broadcom Inc.,OK,SEC point-in-time,High,392.9,6.03,65.15754,34,62,57.19493248774063,93.87329577470153,75.1049651390177,78.71540210865163,9.704328927584006,61.29473531920079,83.49376061274063,-1.0250502856248722,0.25806451612903225,344.88544290107603,566.0559735214503,452.8829397882767,394.3658363549452,511.40004322160826,369.6072539747808,503.467376494826,122,57.19493248774063,93.87329577470153,72.30794087549145,71.47694073882994,7.783390629820148,62.375632838199024,82.3754377160621,-0.9186742919077521,0.1885245901639344,344.88544290107603,566.0559735214503,436.0168834792135,389.083037981398,482.950728977029,376.1250660143401,496.72388942785443
NFLX,"Netflix, Inc.",OK,SEC point-in-time,High,76.96,3.1,24.825808,67,19,,,,,,,,,,,,,,,,,79,3.4895572646419106,42.60474344487245,27.281795254070552,32.99999915564012,14.556099594732926,3.7655806003656602,39.150196422230096,-0.16872564233891638,0.26582278481012656,10.817627520389923,132.0747046791046,84.57356528761872,39.449656543946645,129.6974740312908,11.673299861133547,121.3656089089133
