Ticker,Company,Price,Market Cap,TTM EPS,Forward EPS,TTM PE,Forward PE,PEG,PS,EP,Forward EP,10Y Yield,ERP
GOOG,Alphabet Inc.,335.41,4102042681344.0,19.92,14.82767,16.837852,22.620546,0.92,9.20017,0.05939000029814257,0.044207596672728895,0.04758000373840332,-0.003372407065674425
MSFT,Microsoft Corporation,507.29,3766905208832.0,17.97,23.57328,28.22983,21.519703,1.64,11.351604,0.03542352500542096,0.04646904137672731,0.04758000373840332,-0.0011109623616760086
META,"Meta Platforms, Inc.",572.34,1458039816192.0,26.53,34.95966,21.573313,16.37144,0.85,6.3879914,0.0463535660621309,0.06108197924310724,0.04758000373840332,0.013501975504703917
AMZN,"Amazon.com, Inc.",259.77,2801960484864.0,12.44,10.39051,20.881832,25.000698,1.36,3.6122632,0.04788851676483043,0.03999888362782462,0.04758000373840332,-0.007581120110578703
AAPL,Apple Inc.,316.85,4624166158336.0,8.73,9.53851,36.29439,33.217976,2.54,9.905609,0.027552469622849927,0.030104181789490293,0.04758000373840332,-0.017475821948913027
NVDA,NVIDIA Corporation,220.78,5331174293504.0,7.92,15.30598,27.876263,14.424428,0.63,17.596376,0.03587281456653682,0.069326841199384,0.04758000373840332,0.021746837460980675
AMD,"Advanced Micro Devices, Inc.",470.72,768438632448.0,3.91,15.45073,120.38875,30.465874,1.02,18.60401,0.008306424201223657,0.032823610639021075,0.04758000373840332,-0.014756393099382245
AVGO,Broadcom Inc.,370.34,1761922252800.0,6.01,19.50742,61.62063,18.984571,0.42,23.347542,0.016228330723119296,0.05267435329697035,0.04758000373840332,0.005094349558567031
NFLX,"Netflix, Inc.",81.05,337487331328.0,3.18,3.82091,25.487421,21.212225,1.79,6.977093,0.03923504009870451,0.04714262800740284,0.04758000373840332,-0.00043737573100047916
