Ticker,Company,Price,Market Cap,TTM EPS,Forward EPS,TTM PE,Forward PE,PEG,PS,EP,Forward EP,10Y Yield,ERP
GOOG,Alphabet Inc.,353.81,4317392142336.0,13.11,14.62456,26.987797,24.192863,1.41,10.218728,0.03705378593030157,0.041334501568638535,0.045689997673034666,-0.004355496104396131
MSFT,Microsoft Corporation,401.1,2979545219072.0,16.77,19.37791,23.91771,20.698826,1.19,9.361603,0.04181002243829469,0.048311917227624034,0.045689997673034666,0.002621919554589368
META,"Meta Platforms, Inc.",664.54,1686883794944.0,27.52,36.32896,24.147528,18.292294,0.96,7.847322,0.04141210461371776,0.054667830378908724,0.045689997673034666,0.008977832705874059
AMZN,"Amazon.com, Inc.",249.89,2688094044160.0,8.36,9.90619,29.89115,25.225641,1.43,3.6189835,0.033454720076833803,0.039642202569130425,0.045689997673034666,-0.006047795103904241
AAPL,Apple Inc.,333.26,4894708203520.0,8.25,9.62091,40.395153,34.639137,2.54,10.842385,0.024755446198163597,0.028869081197863532,0.045689997673034666,-0.016820916475171133
NVDA,NVIDIA Corporation,207.4,5023435063296.0,6.52,12.80493,31.809814,16.196886,0.65,19.817015,0.03143683702989392,0.06174026036644166,0.045689997673034666,0.016050262693406994
AMD,"Advanced Micro Devices, Inc.",500.94,816833036288.0,3.02,13.46474,165.87418,37.20384,1.27,21.808966,0.006028666107717491,0.026878947578552324,0.045689997673034666,-0.01881105009448234
AVGO,Broadcom Inc.,374.45,1781475966976.0,5.99,19.4169,62.512524,19.284746,0.44,23.606651,0.015996795299773003,0.051854453198023766,0.045689997673034666,0.0061644555249891
NFLX,"Netflix, Inc.",74.35,313072877568.0,3.1,3.83294,23.983871,19.397642,1.45,6.6767526,0.04169468728984533,0.05155265635507734,0.045689997673034666,0.005862658682042672
