Ticker,Company,Price,Market Cap,TTM EPS,Forward EPS,TTM PE,Forward PE,PEG,PS,EP,Forward EP,10Y Yield,ERP
GOOG,Alphabet Inc.,346.08,4223066177536.0,13.12,14.55347,26.378048,23.779896,1.37,9.99547,0.03791030975496995,0.04205232894128526,0.04451000213623047,-0.0024576731949452132
MSFT,Microsoft Corporation,373.94,2777788973056.0,16.79,19.3459,22.27159,19.32916,1.13,8.727693,0.044900251377226294,0.051735305129165104,0.04451000213623047,0.007225302992934633
META,"Meta Platforms, Inc.",562.2,1427101581312.0,27.49,36.24596,20.451075,15.5106945,0.81,6.6388245,0.04889718961223763,0.0644716471006759,0.04451000213623047,0.019961644964445434
AMZN,"Amazon.com, Inc.",234.11,2518346891264.0,7.4,9.88054,31.636486,23.69405,1.83,3.3904529,0.03160907265815215,0.04220469010294306,0.04451000213623047,-0.0023053120332874114
AAPL,Apple Inc.,294.3,4322488745984.0,8.27,9.60059,35.586452,30.654366,2.4,9.574848,0.028100577641862044,0.03262178049609242,0.04451000213623047,-0.011888221640138051
NVDA,NVIDIA Corporation,200.04,4845168754688.0,6.52,12.72901,30.68098,15.715283,0.64,19.11377,0.03259348130373925,0.06363232353529295,0.04451000213623047,0.019122321399062482
AMD,"Advanced Micro Devices, Inc.",519.85,847667658752.0,3.02,13.10372,172.13576,39.67194,1.33,22.632233,0.0058093680869481575,0.025206732711359044,0.04451000213623047,-0.019303269424871428
AVGO,Broadcom Inc.,380.15,1808594108416.0,6.01,19.38501,63.252907,19.610514,0.71,23.966,0.0158095488622912,0.05099305537287913,0.04451000213623047,0.0064830532366486615
NFLX,"Netflix, Inc.",72.82,306630361088.0,3.1,3.84196,23.490324,18.953867,1.43,6.539356,0.04257072232903049,0.05275968140620709,0.04451000213623047,0.00824967926997662
