Ticker,Company,Status,Method,Data Quality,Current Price,Current TTM EPS,Current TTM PE,Historical EPS Reports Used,PE_90D_Count,PE_90D_Min,PE_90D_Max,PE_90D_Mean,PE_90D_Median,PE_90D_Std,PE_90D_P10,PE_90D_P90,PE_90D_Current_ZScore,PE_90D_Current_Percentile,Value_90D_Min,Value_90D_Max,Value_90D_Mean,Value_90D_Lower_1Std,Value_90D_Upper_1Std,Value_90D_P10,Value_90D_P90,PE_180D_Count,PE_180D_Min,PE_180D_Max,PE_180D_Mean,PE_180D_Median,PE_180D_Std,PE_180D_P10,PE_180D_P90,PE_180D_Current_ZScore,PE_180D_Current_Percentile,Value_180D_Min,Value_180D_Max,Value_180D_Mean,Value_180D_Lower_1Std,Value_180D_Upper_1Std,Value_180D_P10,Value_180D_P90
GOOG,Alphabet Inc.,OK,SEC point-in-time,High,364.9,13.11,27.833715,37,62,25.529367081724352,32.24051702254134,28.971880280295576,29.218705979642895,1.6472352019661056,26.950496205112394,31.22081491927324,-0.690954927952659,0.2903225806451613,334.69000244140625,422.67317816551696,379.821350474675,358.2260969768993,401.4166039724506,353.3210052490235,409.3048835916722,123,25.267346405960915,34.04738340537852,29.30739715383484,28.938215475424297,2.1070672102269508,26.950572324472017,32.649555413414674,-0.6993996900915709,0.24390243902439024,331.25491138214755,446.36119644451236,384.21997668677477,356.5963255606994,411.84362781285006,353.32200317382814,428.0356714698664
MSFT,Microsoft Corporation,OK,SEC point-in-time,High,386.74,16.79,23.033947,67,62,21.00178491501581,27.41190410795666,24.443075913220575,24.57421541107486,1.4877847766972214,22.287916819254555,26.518011516597287,-0.9471322299376808,0.1774193548387097,352.61996872311545,460.2458699725923,410.39924458297344,385.4193381822271,435.3791509837198,374.21412339528393,445.23741336366845,123,21.00178491501581,34.38620207828614,25.597988311901137,24.924952332268216,3.056819138174034,22.91399127868527,31.98677160661895,-0.8387939213939706,0.11382113821138211,352.61996872311545,577.3443328944243,429.79022375682007,378.46623042687804,481.1142170867621,384.7259135691257,537.0578952751322
META,"Meta Platforms, Inc.",OK,SEC point-in-time,High,600.29,27.51,21.820791,55,62,19.740727095170456,29.312472873263886,23.392507305187575,22.211272638494318,2.9691996794952313,20.515017311789773,28.57799154893039,-0.529340049455606,0.3064516129032258,543.0674023881393,806.3861287434895,643.5278759657102,561.8451927827964,725.210559148624,564.3681262473367,786.1805475110751,123,19.740727095170456,31.430821522290067,25.37164196891411,26.50744883544194,3.1683142870520173,21.208655450994318,28.79957437007769,-1.120738237183542,0.15447154471544716,543.0674023881393,864.6619000781998,697.9738705648272,610.8135445280262,785.1341966016281,583.4501114568537,792.2762909208373
AMZN,"Amazon.com, Inc.",OK,SEC point-in-time,High,244.16,7.67,31.833117,67,62,27.154305563018653,36.818687619857045,31.55421421869486,31.719497972698306,2.5449290883952114,28.4729664633719,34.936540888276895,0.10959157273848176,0.532258064516129,208.27352366835308,282.39933404430354,242.02082305738958,222.5012169493983,261.5404291653809,218.38765277406247,267.96326861308376,123,27.154305563018653,36.818687619857045,31.130335698958042,30.357654699298184,2.473996425543746,28.477033405212698,34.71631846833595,0.2840672257186058,0.6016260162601627,208.27352366835308,282.39933404430354,238.76967481100817,219.79412222708766,257.7452273949287,218.41884621798138,266.27416265213674
AAPL,Apple Inc.,OK,SEC point-in-time,High,312.66,8.27,37.806526,67,62,32.08860759493671,38.15980777324834,35.33875953722645,35.45762586247257,1.5501968537784299,33.314200685973276,37.544311080082856,1.5919052194943142,0.9516129032258065,265.3727848101266,315.58161028476377,292.25154137286273,279.43141339211513,305.07166935361033,275.508439672999,310.4914526322852,123,31.218987959849684,38.15980777324834,34.368043092528055,34.35593205560495,1.6834204645572441,32.13645490815368,36.857384042070215,2.0425573882852244,0.975609756097561,258.1810304279569,315.58161028476377,284.223716375207,270.30182913331856,298.1456036170954,265.76848209043095,304.8105660279207
NVDA,NVIDIA Corporation,OK,SEC point-in-time,High,195.55,6.53,29.946402,65,62,29.48392018059676,48.11020520268654,36.85849225386953,35.352643104770436,5.5571457450611605,30.49065839641857,44.72591882822464,-1.2438202219210388,0.06451612903225806,192.52999877929685,314.1596399735431,240.68595441776802,204.39779270251864,276.97411613301745,199.10399932861327,292.06024994830693,90,29.48392018059676,48.11020520268654,36.7670292746133,36.45306022799745,4.652739464438709,30.68713598558037,43.54550980548469,-1.4659379332850992,0.044444444444444446,192.52999877929685,314.1596399735431,240.08870116322487,209.70631246044007,270.47108986600966,200.38699798583983,284.35217902981503
AMD,"Advanced Micro Devices, Inc.",OK,SEC point-in-time,High,552.05,3.0,184.01666,63,62,83.59622595445165,190.4622862768955,144.44332652436776,147.88524690221567,28.68891413876551,98.03886672685732,176.8124559746414,1.3793946081130795,0.9838709677419355,250.78867786335496,571.3868588306865,433.3299795731033,347.2632371568068,519.3967219893998,294.11660018057194,530.4373679239243,123,72.05660262197819,190.4622862768955,116.91155465407509,114.24630451672182,36.93298672151382,75.51924334831958,170.4354027920082,1.8169422866316831,0.991869918699187,216.16980786593456,571.3868588306865,350.7346639622253,239.93570379768383,461.5336241267667,226.55773004495873,511.30620837602464
AVGO,Broadcom Inc.,OK,SEC point-in-time,High,373.9,6.02,62.109634,34,62,59.97504362845778,93.87329577470153,75.50827412697312,78.71540210865163,9.142081458394216,62.697835658830336,83.49376061274063,-1.465600606158519,0.08064516129032258,361.04976264331583,565.1172405637031,454.5598102443781,399.524479864845,509.59514062391133,377.4409706661586,502.6324388886986,123,57.19493248774063,93.87329577470153,71.43240100505803,69.71488648740501,8.218059790012594,61.92512601068532,82.3629623918738,-1.1344243341217817,0.12195121951219512,344.31349357619854,565.1172405637031,430.0230540504493,380.55033411457345,479.49577398632505,372.7892585843256,495.8250335990802
NFLX,"Netflix, Inc.",OK,SEC point-in-time,High,76.02,3.1,24.522581,67,8,,,,,,,,,,,,,,,,,69,3.4895572646419106,42.60474344487245,30.6729009040298,34.039526777305134,12.282329463423885,3.736424394319131,39.21501913560707,-0.5007453938070234,0.15942028985507245,10.817627520389923,132.0747046791046,95.08599280249238,57.010771465878335,133.16121413910642,11.582915622389306,121.56655932038193
