Ticker,Company,Price,Market Cap,TTM EPS,Forward EPS,TTM PE,Forward PE,PEG,PS,EP,Forward EP,10Y Yield,ERP
GOOG,Alphabet Inc.,353.47,4322915254272.0,19.94,14.73443,17.726679,23.989391,0.98,9.695548,0.05641214247319433,0.041685093501570146,0.04659999847412109,-0.004914904972550947
MSFT,Microsoft Corporation,499.99,3712698548224.0,17.94,23.4742,27.870121,21.299555,1.59,11.188252,0.03588071761435229,0.046949338986779734,0.04659999847412109,0.0003493405126586413
META,"Meta Platforms, Inc.",592.1,1508378279936.0,26.55,35.13625,22.301317,16.851542,0.88,6.6085353,0.044840398581320724,0.05934174970444181,0.04659999847412109,0.012741751230320716
AMZN,"Amazon.com, Inc.",274.48,2960627335168.0,12.44,10.33054,22.06431,26.569765,1.45,3.8168151,0.04532206353832701,0.0376367677062081,0.04659999847412109,-0.008963230767912993
AAPL,Apple Inc.,313.33,4572794322944.0,8.72,9.51307,35.93234,32.93679,2.52,9.795564,0.027830083298758503,0.03036118469345419,0.04659999847412109,-0.016238813780666904
NVDA,NVIDIA Corporation,223.96,5424535306240.0,6.53,12.89043,34.29709,17.37413,0.6,21.39932,0.029156992320057154,0.057556840507233434,0.04659999847412109,0.01095684203311234
AMD,"Advanced Micro Devices, Inc.",483.36,789073100800.0,3.91,15.45987,123.621475,31.265461,1.13,19.103573,0.00808920887123469,0.03198417328699106,0.04659999847412109,-0.014615825187130033
AVGO,Broadcom Inc.,427.76,2035102646272.0,6.01,19.49196,71.174706,21.94546,0.47,26.967505,0.014049934542734243,0.04556751449410885,0.04659999847412109,-0.0010324839800122457
NFLX,"Netflix, Inc.",74.14,308714471424.0,3.18,3.81728,23.314465,19.422207,1.65,6.382253,0.042891826274615595,0.051487456164014025,0.04659999847412109,0.004887457689892932
