Ticker,Company,Price,Market Cap,TTM EPS,Forward EPS,TTM PE,Forward PE,PEG,PS,EP,Forward EP,10Y Yield,ERP
GOOG,Alphabet Inc.,341.75,4179580420096.0,19.92,14.81101,17.156124,23.07405,0.93,9.374073,0.058288222384784205,0.04333872713972202,0.0473799991607666,-0.004041272021044581
MSFT,Microsoft Corporation,483.24,3588320657408.0,17.95,23.57328,26.921446,20.49948,1.57,10.813438,0.03714510388212896,0.04878172336727092,0.0473799991607666,0.0014017242065043206
META,"Meta Platforms, Inc.",549.9,1400873680896.0,26.53,34.70468,20.727478,15.845125,0.82,6.137534,0.04824513547917804,0.0631108928896163,0.0473799991607666,0.0157308937288497
AMZN,"Amazon.com, Inc.",258.63,2789664358400.0,12.43,10.39051,20.80692,24.890984,1.42,3.5964112,0.04806093647295364,0.04017519235974172,0.0473799991607666,-0.0072048068010248795
AAPL,Apple Inc.,309.35,4514709504000.0,8.72,9.53851,35.475918,32.43169,2.55,9.671138,0.028188136415063843,0.03083403911427186,0.0473799991607666,-0.01654596004649474
NVDA,NVIDIA Corporation,214.72,5200733011968.0,6.53,13.02727,32.88208,16.482347,0.6,20.51644,0.030411698956780926,0.06067096684053651,0.0473799991607666,0.013290967679769908
AMD,"Advanced Micro Devices, Inc.",473.25,772568776704.0,3.94,15.48597,120.11421,30.559921,1.0,18.704,0.00832540940306392,0.032722599049128366,0.0473799991607666,-0.014657400111638234
AVGO,Broadcom Inc.,368.45,1752930451456.0,6.01,19.50413,61.306156,18.890873,0.41,23.22839,0.016311575519066358,0.052935622201112774,0.0473799991607666,0.0055556230403461734
NFLX,"Netflix, Inc.",79.59,331407949824.0,3.18,3.82091,25.0283,20.830116,1.8,6.85141,0.03995476818695816,0.04800741299158186,0.0473799991607666,0.0006274138308152571
