Ticker,Company,Status,Method,Data Quality,Current Price,Current TTM EPS,Current TTM PE,Historical EPS Reports Used,PE_90D_Count,PE_90D_Min,PE_90D_Max,PE_90D_Mean,PE_90D_Median,PE_90D_Std,PE_90D_P10,PE_90D_P90,PE_90D_Current_ZScore,PE_90D_Current_Percentile,Value_90D_Min,Value_90D_Max,Value_90D_Mean,Value_90D_Lower_1Std,Value_90D_Upper_1Std,Value_90D_P10,Value_90D_P90,PE_180D_Count,PE_180D_Min,PE_180D_Max,PE_180D_Mean,PE_180D_Median,PE_180D_Std,PE_180D_P10,PE_180D_P90,PE_180D_Current_ZScore,PE_180D_Current_Percentile,Value_180D_Min,Value_180D_Max,Value_180D_Mean,Value_180D_Lower_1Std,Value_180D_Upper_1Std,Value_180D_P10,Value_180D_P90
GOOG,Alphabet Inc.,OK,SEC point-in-time,High,353.32,13.11,26.95042,37,62,25.267346405960915,32.24051702254134,29.0010964341592,29.218705979642895,1.6489712411073933,26.96842149957094,31.22081491927324,-1.2436095809542653,0.0967741935483871,331.25491138214755,422.67317816551696,380.2043742518271,358.5863612809092,401.822387222745,353.55600585937503,409.3048835916722,122,25.267346405960915,34.04738340537852,29.777375777693212,29.391380799283425,1.9561681051591173,27.55376194623738,32.65449124757065,-1.445149713993145,0.04918032786885246,331.25491138214755,446.36119644451236,390.381396445558,364.73603258692197,416.02676030419406,361.229819115172,428.10038025565115
MSFT,Microsoft Corporation,OK,SEC point-in-time,High,397.36,16.81,23.63831,67,62,22.31206935670243,27.41190410795666,24.721399283674554,24.654761723109655,1.1950504270581255,23.212320734516688,26.518011516597287,-0.9063126200798165,0.20967741935483872,375.06588588616785,460.7941080547514,415.56672195856925,395.4779242797222,435.65551963741626,390.19911154722547,445.76777359400035,122,22.31206935670243,34.70981429684721,27.06026990755874,25.26344430358227,3.915239171210909,23.43446802149336,34.03058373571968,-0.8740104391886724,0.10655737704918032,375.06588588616785,583.4719783300017,454.8831371460624,389.067966678007,520.6983076141178,393.93340744130336,572.0541125974478
META,"Meta Platforms, Inc.",OK,SEC point-in-time,High,570.98,27.52,20.747818,55,62,20.762908380681818,29.312472873263886,24.45337802079756,23.205473106245798,2.626729250262965,21.84305353338068,28.57799154893039,-1.4107125888313745,0.0,571.3952386363636,806.6792534722222,672.9569631323488,600.6693741651121,745.2445520995857,601.1208332386362,786.4663274265644,122,20.762908380681818,31.430821522290067,26.435421245276856,27.460765741710077,2.8342853768769714,22.139563654119318,29.310809288328993,-2.006715093574623,0.0,571.3952386363636,864.9762082934226,727.5027926700191,649.5032590983649,805.5023262416732,609.2807917613636,806.6334716148139
AMZN,"Amazon.com, Inc.",OK,SEC point-in-time,High,238.0,7.52,31.648935,67,62,27.801952069440812,36.818687619857045,31.687159102641573,31.719497972698306,2.386505114862865,28.97210582695912,34.936540888276895,-0.016016769628322266,0.45161290322580644,209.0706795621949,276.87653090132494,238.2874364518646,220.34091798809587,256.2339549156334,217.87023581873257,262.7227874798422,122,27.72524313614126,36.818687619857045,31.623037863304752,31.826555900026168,2.2960326000314004,28.907950386675164,34.72357096864921,0.011279080573549014,0.45901639344262296,208.49382838378224,276.87653090132494,237.80524473205173,220.5390795798156,255.07140988428787,217.38778690779722,261.12125368424205
AAPL,Apple Inc.,OK,SEC point-in-time,High,291.58,8.25,35.34303,67,62,31.218987959849684,38.15980777324834,34.38119441094596,34.289239810991894,2.070691878973815,31.836076567444625,37.381477633053684,0.4644996190986669,0.6612903225806451,257.5566506687599,314.8184141292988,283.64485389030415,266.56164588877016,300.72806189183814,262.64763168141815,308.3971904726929,122,31.218987959849684,38.15980777324834,34.45818284706386,34.42623029342849,1.7429427351589535,32.130885256996635,36.739944580732654,0.5076742540571434,0.7131147540983607,257.5566506687599,314.8184141292988,284.28000848827685,269.90073092321546,298.65928605333823,265.07980337022224,303.1045427910444
NVDA,NVIDIA Corporation,OK,SEC point-in-time,High,200.42,6.53,30.692188,65,62,30.692189612395907,48.11020520268654,38.16288851506849,37.14387699049346,4.469269939765504,32.8177641653905,44.72591882822464,-1.6715706627155447,0.0,200.41999816894528,314.1596399735431,249.20366200339723,220.0193292967285,278.387994710066,214.29999999999998,292.06024994830693,74,30.692189612395907,48.11020520268654,38.04425130262792,37.315304814552775,4.11124854985372,32.89173050277265,44.11979581871811,-1.7882799381928658,0.0,200.41999816894528,314.1596399735431,248.42896100616034,221.58250797561553,275.2754140367051,214.78300018310543,288.10226669622926
AMD,"Advanced Micro Devices, Inc.",OK,SEC point-in-time,High,452.4,2.99,151.30435,63,62,72.9773582602447,177.87541623975412,119.51998172462858,126.74339438384433,33.775772347077755,76.24868083450029,164.93607017642162,0.9410404578985555,0.8064516129032258,218.20230119813166,531.8474945568648,357.3647453566395,256.37518603887696,458.354304674402,227.9835556951559,493.15884982750066,122,72.05660262197819,177.87541623975412,107.97139173618022,105.31773308815039,29.657332448734547,75.51811131891215,150.30492063428537,1.4611212366697113,0.9016393442622951,215.4492418397148,531.8474945568648,322.8344612911789,234.15903726946257,411.5098853128952,225.79915284354735,449.4117126965133
AVGO,Broadcom Inc.,OK,SEC point-in-time,High,372.1,6.03,61.708126,34,62,57.19493248774063,93.87329577470153,74.9658087483477,78.71540210865163,9.868908608061547,61.29473531920079,83.49376061274063,-1.3433788147068244,0.14516129032258066,344.88544290107603,566.0559735214503,452.04382675253663,392.5343078459255,511.55334565914774,369.6072539747808,503.467376494826,119,57.19493248774063,93.87329577470153,72.61135179697153,71.81970368391313,7.702603776047882,62.306821945815074,82.39220215795567,-1.4155246867139069,0.07563025210084033,344.88544290107603,566.0559735214503,437.8464513357384,391.39975056616964,484.29315210530706,375.7101363332649,496.8249790124727
NFLX,"Netflix, Inc.",OK,SEC point-in-time,High,82.0,3.1,26.451614,67,24,35.93675816954359,42.60474344487245,38.48698946484148,37.71936770955563,2.051424908164389,36.34703534393912,41.63794476052987,-5.8668369565672815,0.0,111.40395032558513,132.0747046791046,119.30966734100859,112.95025012569899,125.66908455631818,112.67580956621127,129.0776287576426,84,3.4895572646419106,42.60474344487245,25.892353944810708,32.699604562148735,15.16530049649943,3.7753968011765253,39.127667091580705,0.036877611183397524,0.30952380952380953,10.817627520389923,132.0747046791046,80.2662972289132,33.253865689764964,127.27872876806143,11.703730083647228,121.29576798390019
