Ticker,Company,Price,Market Cap,TTM EPS,Forward EPS,TTM PE,Forward PE,PEG,PS,EP,Forward EP,10Y Yield,ERP
GOOG,Alphabet Inc.,342.37,4187162935296.0,19.93,14.73894,17.178625,23.228943,0.96,9.39108,0.058211876040540934,0.04304974150772556,0.04682000160217285,-0.0037702600944472947
MSFT,Microsoft Corporation,492.43,3656561459200.0,17.94,23.55269,27.448717,20.907589,1.65,11.019082,0.03643157403082672,0.047829518916394205,0.04682000160217285,0.0010095173142213518
META,"Meta Platforms, Inc.",578.85,1474623832064.0,26.54,34.885,21.810472,16.593092,0.89,6.4606495,0.045849529239008376,0.06026604474388874,0.04682000160217285,0.013446043141715887
AMZN,"Amazon.com, Inc.",267.28,2882965864448.0,12.44,10.33054,21.48553,25.8728,1.48,3.7166946,0.046542951212211914,0.03865062855432505,0.04682000160217285,-0.008169373047847803
AAPL,Apple Inc.,302.25,4411090796544.0,8.72,9.50771,34.661697,31.789988,2.49,9.449172,0.02885028949545079,0.03145644334160463,0.04682000160217285,-0.015363558260568226
NVDA,NVIDIA Corporation,224.09,5427683655680.0,6.52,12.81649,34.369633,17.484507,0.6,21.411741,0.02909545271988933,0.05719349368557276,0.04682000160217285,0.01037349208339991
AMD,"Advanced Micro Devices, Inc.",482.93,788371144704.0,3.94,15.45987,122.57106,31.237648,1.01,19.086578,0.008158532292464746,0.03201265193713375,0.04682000160217285,-0.014807349665039105
AVGO,Broadcom Inc.,416.05,1979391279104.0,5.99,19.53066,69.45743,21.302402,0.47,26.229263,0.014397308015863478,0.04694305972839803,0.04682000160217285,0.00012305812622517842
NFLX,"Netflix, Inc.",74.21,309005942784.0,3.18,3.81668,23.336477,19.4436,1.71,6.388279,0.042851367740196745,0.051430804473790594,0.04682000160217285,0.0046108028716177404
