Ticker,Company,Status,Method,Data Quality,Current Price,Current TTM EPS,Current TTM PE,Historical EPS Reports Used,PE_90D_Count,PE_90D_Min,PE_90D_Max,PE_90D_Mean,PE_90D_Median,PE_90D_Std,PE_90D_P10,PE_90D_P90,PE_90D_Current_ZScore,PE_90D_Current_Percentile,Value_90D_Min,Value_90D_Max,Value_90D_Mean,Value_90D_Lower_1Std,Value_90D_Upper_1Std,Value_90D_P10,Value_90D_P90,PE_180D_Count,PE_180D_Min,PE_180D_Max,PE_180D_Mean,PE_180D_Median,PE_180D_Std,PE_180D_P10,PE_180D_P90,PE_180D_Current_ZScore,PE_180D_Current_Percentile,Value_180D_Min,Value_180D_Max,Value_180D_Mean,Value_180D_Lower_1Std,Value_180D_Upper_1Std,Value_180D_P10,Value_180D_P90
GOOG,Alphabet Inc.,OK,SEC point-in-time,High,358.71,13.13,27.319878,37,62,25.529367081724352,32.24051702254134,28.93746687069029,29.218705979642895,1.6635411263201174,26.950496205112394,31.22081491927324,-0.9723768442494257,0.20967741935483872,335.20058978304075,423.31798850596783,379.9489400121635,358.1066450235804,401.79123500074667,353.86001517312576,409.9292998900577,123,25.267346405960915,34.04738340537852,29.234923886563394,28.809435030137024,2.0894545871832304,26.950572324472017,32.649555413414674,-0.9165290781193984,0.17073170731707318,331.7602583102668,447.04214411261995,383.85455063057736,356.4200119008616,411.2890893602932,353.8610146203176,428.6886625781347
MSFT,Microsoft Corporation,OK,SEC point-in-time,High,383.34,16.8,22.817858,67,62,21.00178491501581,27.41190410795666,24.431304332967663,24.57421541107486,1.4982372265730817,22.287916819254555,26.518011516597287,-1.0768964382617152,0.16129032258064516,352.8299865722656,460.5199890136719,410.44591279385673,385.275527387429,435.6162982002845,374.43700256347654,445.50259347883446,123,21.00178491501581,34.18065338351818,25.415646158265545,24.914881388346352,2.865468283736575,22.87653350489267,29.57894141610352,-0.9065841604353843,0.0975609756097561,352.8299865722656,574.2349768431054,426.9828554588612,378.8429882920867,475.1227226256357,384.3257628821969,496.9262157905391
META,"Meta Platforms, Inc.",OK,SEC point-in-time,High,603.12,27.52,21.915697,55,62,19.740727095170456,29.312472873263886,23.291930135453082,22.193999689275568,2.953037955418361,20.515017311789773,28.57799154893039,-0.4660397720008675,0.3709677419354839,543.2648096590909,806.6792534722222,640.9939173276688,559.7263127945556,722.2615218607821,564.5732764204546,786.4663274265644,123,19.740727095170456,31.430821522290067,25.265754141328063,26.126437717013886,3.165217753481453,21.208655450994318,28.79957437007769,-1.0583970526651136,0.18699186991869918,543.2648096590909,864.9762082934226,695.3135539693483,608.2067613935387,782.4203465451579,583.6621980113637,792.564286664538
AMZN,"Amazon.com, Inc.",OK,SEC point-in-time,High,243.62,7.77,31.353926,67,62,27.154305563018653,36.818687619857045,31.520219801649738,31.719497972698306,2.5666724871689754,28.4729664633719,34.936540888276895,-0.06478964592524131,0.43548387096774194,210.98895422465492,286.08120280628924,244.91210785881844,224.9690626335155,264.85515308412135,221.23494942039966,271.4569227019115,123,27.154305563018653,36.818687619857045,31.04626436780183,30.013946575765996,2.44684834231791,28.477033405212698,34.65216175116588,0.12573792452813942,0.5609756097560976,210.98895422465492,286.08120280628924,241.2294741378202,222.21746251801002,260.24148575763036,221.26654955850265,269.24729680655884
AAPL,Apple Inc.,OK,SEC point-in-time,High,313.39,8.26,37.940678,67,62,32.7632894395273,38.15980777324834,35.51118035905431,35.57021762210579,1.5123798459012212,33.53231427376279,37.63087238006961,1.6064070461729558,0.967741935483871,270.6247707704955,315.20001220703125,293.3223497657886,280.83009223864445,305.8146072929327,276.9769159012807,310.83100585937495,123,31.218987959849684,38.15980777324834,34.41625615673373,34.35593205560495,1.7375302310889718,32.13645490815368,37.183292564410564,2.0284089336721283,0.983739837398374,257.8688405483584,315.20001220703125,284.27827585462063,269.9262761458257,298.6302755634155,265.44711754134937,307.1339965820313
NVDA,NVIDIA Corporation,OK,SEC point-in-time,High,204.12,6.54,31.211008,65,62,29.48392018059676,48.11020520268654,36.66349891698048,34.17228243069845,5.6645882911309515,30.279020160482265,44.72591882822464,-0.9625573186876525,0.1774193548387097,192.8248379811028,314.64074202557,239.77928291705234,202.73287549305593,276.82569034104876,198.02479184955402,292.5075091365892,92,29.48392018059676,48.11020520268654,36.63531708582996,36.39387792470504,4.687014959029563,30.64670697105606,43.46999966368383,-1.1573056909878208,0.11956521739130435,192.8248379811028,314.64074202557,239.59497374132795,208.94189590927462,270.24805157338125,200.42946359070663,284.29379780049226
AMD,"Advanced Micro Devices, Inc.",OK,SEC point-in-time,High,517.405,2.99,173.04517,63,62,89.29811297722583,190.4622862768955,147.14948632840998,149.83278868628332,26.873592356824137,105.0086831146816,176.8124559746414,0.9636107941115741,0.8548387096774194,267.0013578019052,569.4822359679176,439.97696412194585,359.6249229750417,520.32900526885,313.97596251289804,528.6692433641779,123,72.05660262197819,190.4622862768955,118.00563326439672,115.21886285745873,37.47598362909357,75.51924334831958,170.4354027920082,1.468661564172386,0.926829268292683,215.4492418397148,569.4822359679176,352.8368434605462,240.78365240955642,464.89003451153604,225.80253761147554,509.60185434810455
AVGO,Broadcom Inc.,OK,SEC point-in-time,High,388.69,6.01,64.673874,34,62,59.97504362845778,93.87329577470153,75.39403907990172,78.71540210865163,9.273698435305844,62.259732720855865,83.49376061274063,-1.1559751651066246,0.22580645161290322,360.45001220703125,564.1785076059562,453.1181748702093,397.3832472740212,508.85310246639744,374.1809936523437,501.79750128257115,123,57.19493248774063,93.87329577470153,71.3076272950562,69.66666615484147,8.285245733190155,61.737770423317905,82.3629623918738,-0.8006706751595564,0.25203252032520324,343.74154425132116,564.1785076059562,428.5588400432877,378.7645131868149,478.35316689976054,371.0440002441406,495.0014039751615
NFLX,"Netflix, Inc.",OK,SEC point-in-time,High,75.59,3.1,24.383871,67,6,,,,,,,,,,,,,,,,,67,3.4895572646419106,42.60474344487245,31.475503488319326,35.93675816954359,11.526767839052637,3.7360067216176835,39.23241053645317,-0.6152316579408244,0.13432835820895522,10.817627520389923,132.0747046791046,97.57406081378991,61.841080512726734,133.3070411148531,11.58162083701482,121.62047266300485
