Ticker,Company,Price,Market Cap,TTM EPS,Forward EPS,TTM PE,Forward PE,PEG,PS,EP,Forward EP,10Y Yield,ERP
GOOG,Alphabet Inc.,356.18,4346312392704.0,13.11,14.55771,27.168573,24.46676,1.39,10.287178,0.03680723229827615,0.04087177831433545,0.043720002174377444,-0.002848223860041993
MSFT,Microsoft Corporation,390.49,2900729528320.0,16.79,19.36884,23.257294,20.160732,1.15,9.113967,0.0429972598530052,0.04960137263438244,0.043720002174377444,0.005881370460004996
META,"Meta Platforms, Inc.",582.9,1479647035392.0,27.51,36.82768,21.18866,15.82777,0.81,6.883264,0.047195059186824505,0.06318009950248757,0.043720002174377444,0.019460097328110125
AMZN,"Amazon.com, Inc.",242.67,2610427854848.0,7.67,9.90251,31.638851,24.505909,1.83,3.5144215,0.03160670869905633,0.04080648617464046,0.043720002174377444,-0.002913515999736986
AAPL,Apple Inc.,308.63,4532958920704.0,8.27,9.60892,37.319225,32.119114,2.34,10.041065,0.026795839678579528,0.031134108803421573,0.043720002174377444,-0.012585893370955871
NVDA,NVIDIA Corporation,194.83,4718977351680.0,6.53,12.76443,29.83614,15.26351,0.61,18.615955,0.033516398911871886,0.06551573166350151,0.043720002174377444,0.021795729489124067
AMD,"Advanced Micro Devices, Inc.",517.82,844357632000.0,3.0,13.17704,172.60667,39.297142,1.3,22.543858,0.005793518983430535,0.025447143795141167,0.043720002174377444,-0.018272858379236277
AVGO,Broadcom Inc.,360.45,1714869895168.0,6.02,19.39578,59.875416,18.583939,0.69,22.724043,0.016701345540296852,0.05380990428630878,0.043720002174377444,0.010089902111931337
NFLX,"Netflix, Inc.",77.65,326968508416.0,3.1,3.84155,25.048388,20.213196,1.4,6.973098,0.03992273019961365,0.04947263361236316,0.043720002174377444,0.005752631437985718
