Ticker,Company,Status,Method,Data Quality,Current Price,Current TTM EPS,Current TTM PE,Historical EPS Reports Used,PE_90D_Count,PE_90D_Min,PE_90D_Max,PE_90D_Mean,PE_90D_Median,PE_90D_Std,PE_90D_P10,PE_90D_P90,PE_90D_Current_ZScore,PE_90D_Current_Percentile,Value_90D_Min,Value_90D_Max,Value_90D_Mean,Value_90D_Lower_1Std,Value_90D_Upper_1Std,Value_90D_P10,Value_90D_P90,PE_180D_Count,PE_180D_Min,PE_180D_Max,PE_180D_Mean,PE_180D_Median,PE_180D_Std,PE_180D_P10,PE_180D_P90,PE_180D_Current_ZScore,PE_180D_Current_Percentile,Value_180D_Min,Value_180D_Max,Value_180D_Mean,Value_180D_Lower_1Std,Value_180D_Upper_1Std,Value_180D_P10,Value_180D_P90
GOOG,Alphabet Inc.,OK,SEC point-in-time,High,356.62,19.92,17.90261,38,62,15.988950092309926,30.437834366508152,26.009990929542838,27.277650694916215,4.2608898798460455,17.91175263662065,29.44302021320497,-1.9027435953908705,0.0967741935483871,318.4998858388137,606.3216605808425,518.1190193164933,433.2420929099601,602.9959457230267,356.8021125214834,586.504962647043,124,15.988950092309926,32.24051702254134,27.43201072750079,28.09851943729764,3.503715106425862,25.386100303604955,30.395042716229263,-2.719798967108866,0.04838709677419355,318.4998858388137,642.2310990890236,546.4456536918158,476.6516487718126,616.2396586118189,505.69111804781073,605.469250907287
MSFT,Microsoft Corporation,OK,SEC point-in-time,High,499.86,17.94,27.862875,68,62,21.00178491501581,27.84735294437674,24.041221237556403,23.735416957310267,1.563918761949199,22.20904704502651,26.230576378199572,2.4436395645515856,1.0,376.7720213753837,499.5815118221188,431.2995090017619,403.24280641239324,459.35621159113055,398.4303039877756,470.5765402249004,124,21.00178491501581,27.84735294437674,24.40458016902181,24.56234792298503,1.4036518401149045,22.715237753731863,26.278409769246867,2.4637839185927257,1.0,376.7720213753837,499.5815118221188,437.8181682322513,412.6366542205899,462.9996822439127,407.51136530194964,471.43467126028884
META,"Meta Platforms, Inc.",OK,SEC point-in-time,High,589.9,26.55,22.218458,55,62,19.601091974431817,24.77490900213068,21.900680228761914,21.831999067826704,1.154298414239098,20.460690030184658,23.47803555575284,0.2752994956226813,0.6451612903225806,520.4089919211648,657.7738340065696,581.4630600736289,550.8164371755807,612.1096829716769,543.2313203014027,623.3418440052379,124,19.601091974431817,29.312472873263886,24.222893031468022,23.205473106245798,2.8861698102607902,20.830981001420454,28.454746524036157,-0.6944965692392527,0.3467741935483871,520.4089919211648,778.2461547851561,643.117809985476,566.490001523052,719.7456184478999,553.0625455877131,755.47352021316
AMZN,"Amazon.com, Inc.",OK,SEC point-in-time,High,272.26,12.43,21.90346,68,62,21.848751936626357,32.77511961722488,29.17078135884299,29.385166989559195,2.5880356579103387,27.20035826760616,32.09760675019625,-2.808045297455776,0.016129032258064516,271.5799865722656,407.39473684210526,362.59281229041835,330.4235290625929,394.7620955182439,338.1004532663446,398.9732519049394,124,21.848751936626357,36.818687619857045,30.027677994105343,29.427033748352926,2.757589237089576,27.835077335139026,33.39428187414193,-2.946130585670487,0.008064516129032258,271.5799865722656,457.65628711482304,373.2440374667294,338.96720324970596,407.5208716837529,345.9900112757781,415.0909236955842
AAPL,Apple Inc.,OK,SEC point-in-time,High,312.41,8.71,35.86797,68,62,33.311137275603436,41.171911207296084,37.112926191870486,36.75786865825515,1.8632934749966403,35.251211023215234,40.25326744984772,-0.6681482056243075,0.3225806451612903,290.14000567050596,358.6073466155489,323.253587131192,307.02430096397126,339.4828732984127,307.03804801220474,350.60595948817365,124,31.218987959849684,41.171911207296084,35.160476300216814,34.78052823547276,2.4711868112509965,32.14202455931072,38.3756656970008,0.2862971332487117,0.6612903225806451,271.91738513029077,358.6073466155489,306.2477485748885,284.7237114488923,327.77178570088466,279.9570339115964,334.252048220877
NVDA,NVIDIA Corporation,OK,SEC point-in-time,High,218.99,6.53,33.535988,65,62,29.098008347141793,48.11020520268654,33.45505987913061,31.91653919073925,4.861382477046552,29.987290106360064,44.697143243283634,0.01664714127133668,0.7741935483870968,190.0099945068359,314.1596399735431,218.4615410107229,186.71671343560888,250.20636858583688,195.8170043945312,291.87234537864214,113,29.098008347141793,48.11020520268654,35.689808856445836,34.94693989656409,4.694525570968276,30.506584786711567,42.66408180703922,-0.4587941473288415,0.4247787610619469,190.0099945068359,314.1596399735431,233.05445183259133,202.3991998541685,263.70970381101415,199.20799865722654,278.5964541999661
AMD,"Advanced Micro Devices, Inc.",OK,SEC point-in-time,High,489.28,3.9,125.456406,64,62,123.92030534523619,190.4622862768955,163.36220370330278,167.49180527984117,14.60434263477573,146.1337700515497,179.41180519979508,-2.595515501878314,0.016129032258064516,483.2891908464211,742.8029164798925,637.1125944428809,580.1556581672555,694.0695307185061,569.9217032010438,699.7060402792008,124,72.05660262197819,190.4622862768955,126.87172027385162,134.90723770099123,40.77856686332462,75.53509348743367,176.6734399013832,-0.034707307851088914,0.43548387096774194,281.0207502257149,742.8029164798925,494.79970906802134,335.76329830105533,653.8361198349874,294.5868646009913,689.0264156153945
AVGO,Broadcom Inc.,OK,SEC point-in-time,High,420.565,6.02,69.8613,34,62,59.97504362845778,93.87329577470153,70.70419160844999,65.33860192322692,9.6644579848059,61.91930228184147,83.47855595817344,-0.08721561103324695,0.6451612903225806,361.04976264331583,565.1172405637031,425.6392334828689,367.4591964143374,483.81927055140045,372.7541997366856,502.5409068682041,124,57.19493248774063,93.87329577470153,70.50817776743932,68.20335468156284,8.575602315066915,61.64026701509854,82.3504870676855,-0.07543234208783076,0.6048387096774194,344.31349357619854,565.1172405637031,424.45923015998466,372.8341042232818,476.08435609668754,371.0744074308932,495.7499321474667
NFLX,"Netflix, Inc.",OK,SEC point-in-time,High,73.69,3.18,23.172956,68,0,,,,,,,,,,,,,,,,,47,29.98418996456582,42.60474344487245,36.47556960978725,37.43082883329729,3.626749052102625,30.66956471077537,40.48774809705409,-3.667916753731554,0.0,95.34972408731932,135.48308415469438,115.99231135912346,104.45924937343712,127.52537334480981,97.52921578026567,128.75103894863202
