Ticker,Company,Price,Market Cap,TTM EPS,Forward EPS,TTM PE,Forward PE,PEG,PS,EP,Forward EP,10Y Yield,ERP
GOOG,Alphabet Inc.,371.1,4528375070720.0,13.1,14.4964,28.328243,25.59946,1.46,10.718098,0.03530045809754783,0.03906332524925896,0.04435999870300293,-0.005296673453743975
MSFT,Microsoft Corporation,393.83,2925540409344.0,16.78,19.3459,23.470201,20.357285,1.22,9.191921,0.042607216311606536,0.0491224640073128,0.04435999870300293,0.004762465304309869
META,"Meta Platforms, Inc.",600.21,1523587088384.0,27.49,36.24596,21.83376,16.559362,0.87,7.0876713,0.045800636443911295,0.06038879725429432,0.04435999870300293,0.01602879855129139
AMZN,"Amazon.com, Inc.",246.0,2646249046016.0,7.77,9.85996,31.660233,24.949392,1.83,3.5626476,0.03158536585365854,0.04008113821138211,0.04435999870300293,-0.004278860491620823
AAPL,Apple Inc.,299.24,4395044175872.0,8.26,9.59499,36.2276,31.187109,2.42,9.735567,0.02760326159604331,0.032064530143029006,0.04435999870300293,-0.012295468559973925
NVDA,NVIDIA Corporation,207.41,5023677808640.0,6.53,12.72715,31.762634,16.296658,0.64,19.817972,0.03148353502724073,0.061362277614386965,0.04435999870300293,0.017002278911384033
AMD,"Advanced Micro Devices, Inc.",507.29,827187396608.0,2.99,13.1035,169.66222,38.714085,1.22,22.085423,0.005894064539021073,0.0258303928719273,0.04435999870300293,-0.018529605831075633
AVGO,Broadcom Inc.,376.71,1792228065280.0,6.03,19.35046,62.472633,19.467754,0.68,23.74913,0.01600700804332245,0.051366993177776016,0.04435999870300293,0.0070069944747730845
NFLX,"Netflix, Inc.",78.72,331474075648.0,3.1,3.84196,25.393549,20.489542,1.55,7.069186,0.03938008130081301,0.048805386178861786,0.04435999870300293,0.004445387475858854
