Ticker,Company,Price,Market Cap,TTM EPS,Forward EPS,TTM PE,Forward PE,PEG,PS,EP,Forward EP,10Y Yield,ERP
GOOG,Alphabet Inc.,350.67,4279076388864.0,13.1,14.63415,26.768703,23.962446,1.4,10.128039,0.03735705934354236,0.04173197022841988,0.046090002059936526,-0.0043580318315166455
MSFT,Microsoft Corporation,390.99,2904443584512.0,16.79,19.35995,23.287073,20.195818,1.19,9.125636,0.04294227473848436,0.04951520499245505,0.046090002059936526,0.003425202932518523
META,"Meta Platforms, Inc.",656.73,1667058630656.0,27.5,36.32896,23.88109,18.077312,0.97,7.755096,0.04187413396677478,0.055317954105949176,0.046090002059936526,0.00922795204601265
AMZN,"Amazon.com, Inc.",247.31,2660340858880.0,8.37,9.88631,29.547192,25.0154,1.41,3.5816195,0.03384416319598884,0.0399753750353807,0.046090002059936526,-0.006114627024555827
AAPL,Apple Inc.,317.31,4660444790784.0,8.26,9.61274,38.415253,33.00932,2.55,10.3234625,0.02603132583278182,0.030294475434118055,0.046090002059936526,-0.01579552662581847
NVDA,NVIDIA Corporation,203.53,4929700233216.0,6.54,12.79063,31.120794,15.912429,0.65,19.447239,0.03213285510735518,0.06284395420822483,0.046090002059936526,0.016753952148288308
AMD,"Advanced Micro Devices, Inc.",534.39,871376683008.0,3.01,13.28145,177.53821,40.235817,1.34,23.26525,0.005632590430210146,0.024853477797114467,0.046090002059936526,-0.02123652426282206
AVGO,Broadcom Inc.,384.05,1827148660736.0,6.0,19.39578,64.00833,19.800697,0.45,24.211868,0.015622965759666709,0.05050326780367139,0.046090002059936526,0.004413265743734865
NFLX,"Netflix, Inc.",73.83,310883254272.0,3.1,3.838,23.81613,19.236582,1.44,6.6300554,0.04198835161858323,0.05198428822971692,0.046090002059936526,0.005894286169780397
