Ticker,Company,Price,Market Cap,TTM EPS,Forward EPS,TTM PE,Forward PE,PEG,PS,EP,Forward EP,10Y Yield,ERP
GOOG,Alphabet Inc.,355.84,4351899992064.0,19.94,14.73443,17.845535,24.150238,0.96,9.760556,0.05603642086330936,0.04140745840827338,0.046990003585815426,-0.005582545177542045
MSFT,Microsoft Corporation,506.06,3757771587584.0,17.95,23.4742,28.192757,21.558136,1.63,11.32408,0.035470102359404024,0.0463861992649093,0.046990003585815426,-0.0006038043209061275
META,"Meta Platforms, Inc.",594.92,1515562336256.0,26.53,35.13625,22.424423,16.9318,0.88,6.64001,0.044594231157130376,0.05906046191084516,0.046990003585815426,0.012070458325029731
AMZN,"Amazon.com, Inc.",278.09,2999565680640.0,12.43,10.33054,22.372484,26.919212,1.46,3.8670142,0.044697759718076886,0.037148189435074974,0.046990003585815426,-0.009841814150740452
AAPL,Apple Inc.,308.26,4498802081792.0,8.71,9.51015,35.391506,32.41379,2.53,9.637062,0.028255368844481935,0.0308510672808668,0.046990003585815426,-0.016138936304948625
NVDA,NVIDIA Corporation,217.55,5269278425088.0,6.54,12.89043,33.264526,16.876862,0.62,20.786846,0.03006205470006895,0.05925272351183636,0.046990003585815426,0.012262719926020932
AMD,"Advanced Micro Devices, Inc.",469.56,766544969728.0,3.92,15.45987,119.78571,30.37283,1.04,18.558163,0.008348240906380441,0.03292416304625607,0.046990003585815426,-0.014065840539559359
AVGO,Broadcom Inc.,422.4,2009601933312.0,5.99,19.53066,70.51753,21.627533,0.48,26.62959,0.014180871212121214,0.046237357954545456,0.046990003585815426,-0.00075264563126997
NFLX,"Netflix, Inc.",76.29,317666951168.0,3.18,3.81668,23.990566,19.988577,1.66,6.5673337,0.04168305151395989,0.050028575173679375,0.046990003585815426,0.003038571587863949
