Ticker,Company,Status,Method,Data Quality,Current Price,Current TTM EPS,Current TTM PE,Historical EPS Reports Used,PE_90D_Count,PE_90D_Min,PE_90D_Max,PE_90D_Mean,PE_90D_Median,PE_90D_Std,PE_90D_P10,PE_90D_P90,PE_90D_Current_ZScore,PE_90D_Current_Percentile,Value_90D_Min,Value_90D_Max,Value_90D_Mean,Value_90D_Lower_1Std,Value_90D_Upper_1Std,Value_90D_P10,Value_90D_P90,PE_180D_Count,PE_180D_Min,PE_180D_Max,PE_180D_Mean,PE_180D_Median,PE_180D_Std,PE_180D_P10,PE_180D_P90,PE_180D_Current_ZScore,PE_180D_Current_Percentile,Value_180D_Min,Value_180D_Max,Value_180D_Mean,Value_180D_Lower_1Std,Value_180D_Upper_1Std,Value_180D_P10,Value_180D_P90
GOOG,Alphabet Inc.,OK,SEC point-in-time,High,372.47,19.94,18.679539,38,62,15.988950092309926,30.437834366508152,26.57051165188429,27.349351872750407,3.9536868319964,17.99256627970398,29.937146126451065,-1.995851716940305,0.11290322580645161,318.8196648406599,606.9304172681726,529.8160023385727,450.9794869085645,608.652517768581,358.77177161729736,596.9466937614343,124,15.988950092309926,32.90621878952524,27.74325024366582,28.16400526561131,3.2419233900749314,26.08649910723863,30.577890006179175,-2.795782056853703,0.056451612903225805,318.8196648406599,656.1500026631334,553.2004098586965,488.55645746060236,617.8443622567906,520.1647921983383,609.7231267232128
MSFT,Microsoft Corporation,OK,SEC point-in-time,High,487.65,17.94,27.182274,68,62,21.00178491501581,27.41190410795666,23.907587673365708,23.735416957310267,1.3659389207286492,22.20904704502651,25.43482117425828,2.3973885485944253,0.9838709677419355,376.7720213753837,491.7695596967425,428.90212286018084,404.39717862230884,453.4070670980528,398.4303039877756,456.3006918661936,124,21.00178491501581,27.41190410795666,24.349348423961295,24.56234792298503,1.3251471261011998,22.715237753731863,25.971357143991362,2.1378196580885596,0.9919354838709677,376.7720213753837,491.7695596967425,436.8273107258657,413.0541712836101,460.6004501681212,407.51136530194964,465.9261471632051
META,"Meta Platforms, Inc.",OK,SEC point-in-time,High,590.24,26.56,22.22289,55,62,19.601091974431817,24.77490900213068,21.940586374232495,21.929454456676133,1.1516296852874117,20.460690030184658,23.47803555575284,0.24513402995256225,0.6129032258064516,520.605002840909,658.0215830965908,582.741974099615,552.1546896583815,613.3292585408486,543.4359272017045,623.5766243607953,124,19.601091974431817,29.312472873263886,24.391686153022423,23.48836337002841,2.921123613791327,20.830981001420454,28.477862972358583,-0.7424527133268225,0.3225806451612903,520.605002840909,778.5392795138888,647.8431842242755,570.2581410419779,725.4282274065731,553.2708553977272,756.3720405458439
AMZN,"Amazon.com, Inc.",OK,SEC point-in-time,High,284.02,12.44,22.83119,68,62,21.848751936626357,32.8935395017195,29.685209657068498,29.428827933717574,2.1316173667217524,27.771291960939838,32.36710689854964,-3.215408057783561,0.016129032258064516,271.7984740916319,409.1956314013906,369.2840081339321,342.7666880919135,395.8013281759507,345.4748719940916,402.64680981795755,124,21.848751936626357,36.818687619857045,30.249758941700915,29.478311640203138,2.4678386938080847,27.965909419447613,33.39428187414193,-3.006099612715543,0.008064516129032258,271.7984740916319,458.02447399102164,376.30700123475935,345.6070878837868,407.006914585732,347.89591317792826,415.42486651432563
AAPL,Apple Inc.,OK,SEC point-in-time,High,303.42,8.71,34.835823,68,62,33.311137275603436,41.171911207296084,37.0631963665892,36.75786865825515,1.9144380424677232,34.85538771586732,40.25326744984772,-1.1634606694913492,0.11290322580645161,290.14000567050596,358.6073466155489,322.82044035299197,306.14568500309815,339.49519570288584,303.5904270052044,350.60595948817365,124,31.218987959849684,41.171911207296084,35.14462925901536,34.78052823547276,2.469746629455089,32.14202455931072,38.3756656970008,-0.12503560297741792,0.5241935483870968,271.91738513029077,358.6073466155489,306.10972084602383,284.59822770347,327.6212139885776,279.9570339115964,334.252048220877
NVDA,NVIDIA Corporation,OK,SEC point-in-time,High,206.64,6.52,31.69325,65,62,29.098008347141793,48.11020520268654,33.876286298087194,31.91653919073925,5.198197262779573,29.987290106360064,44.697143243283634,-0.41996026463218233,0.43548387096774194,189.71901442336448,313.6785379215162,220.8733866635285,186.98114051020568,254.7656328168513,195.51713149346762,291.4253739462093,110,29.098008347141793,48.11020520268654,35.75804405948426,35.418366412727195,4.739280604318172,30.452986245498536,42.75,-0.8576816607526143,0.24545454545454545,189.71901442336448,313.6785379215162,233.14244726783738,202.2423377276829,264.0425568079919,198.55347032065043,278.72999999999996
AMD,"Advanced Micro Devices, Inc.",OK,SEC point-in-time,High,484.64,3.0,161.54668,63,62,133.92130867379612,190.4622862768955,163.1431212808279,166.79016613569416,14.231934447289971,141.36196649269982,179.41180519979508,-0.11217317552582473,0.3870967741935484,401.76392602138833,571.3868588306865,489.42936384248367,446.73356050061375,532.1251671843536,424.08589947809946,538.2354155993853,124,72.05660262197819,190.4622862768955,125.31620455469997,133.9908448587141,41.34561990172673,75.520375377727,176.6734399013832,0.8762832805848665,0.6935483870967742,216.16980786593456,571.3868588306865,375.94861366409987,251.9117539589197,499.9854733692801,226.561126133181,530.0203197041496
AVGO,Broadcom Inc.,OK,SEC point-in-time,High,392.23,5.99,65.480804,34,62,59.97504362845778,93.87329577470153,71.30913708379802,65.33860192322692,9.979102791878422,61.91930228184147,83.49376061274063,-0.5840538177982747,0.5161290322580645,359.25051133446215,562.3010416904622,427.14173113195017,367.3669054085984,486.9165568553019,370.8966206682304,500.1276260703164,124,57.19493248774063,93.87329577470153,70.43010884282428,67.21698113207547,8.605035004563714,61.64026701509854,82.3504870676855,-0.5751638244585168,0.4112903225806452,342.5976456015664,562.3010416904622,421.87635196851744,370.3321922911808,473.4205116458541,369.2251994204403,493.2794175354362
NFLX,"Netflix, Inc.",OK,SEC point-in-time,High,73.33,3.18,23.059748,68,0,,,,,,,,,,,,,,,,,50,29.98418996456582,42.60474344487245,36.20980225815602,37.2865609029536,3.6720563915609756,30.786955761815236,40.373914213519775,-3.5811144644665944,0.0,95.34972408731932,135.48308415469438,115.14717118093614,103.47003185577223,126.82431050610005,97.90251932257246,128.3890471989929
