Ticker,Company,Price,Market Cap,TTM EPS,Forward EPS,TTM PE,Forward PE,PEG,PS,EP,Forward EP,10Y Yield,ERP
GOOG,Alphabet Inc.,335.45,4102531842048.0,19.92,14.87383,16.83986,22.553036,1.21,9.201266,0.059382918467729924,0.0443399314353853,0.04974999904632568,-0.005410067610940379
MSFT,Microsoft Corporation,495.63,3680323239936.0,17.97,23.57298,27.580969,21.025343,1.6,11.090689,0.0362568851764421,0.047561648810604686,0.04974999904632568,-0.002188350235720997
META,"Meta Platforms, Inc.",648.03,1650860490752.0,26.55,34.95966,24.407911,18.536509,0.86,7.232781,0.04097032544789593,0.053947595018749135,0.04974999904632568,0.004197595972423453
AMZN,"Amazon.com, Inc.",256.78,2769709432832.0,12.42,10.40389,20.674719,24.681154,1.48,3.5706854,0.048368252979203996,0.04051674585248073,0.04974999904632568,-0.00923325319384495
AAPL,Apple Inc.,332.27,4849207869440.0,8.72,9.57463,38.104355,34.703167,2.48,10.38768,0.026243717458693236,0.02881581244168899,0.04974999904632568,-0.020934186604636692
NVDA,NVIDIA Corporation,218.29,5271048421376.0,7.9,15.56753,27.631645,14.022135,0.59,17.39792,0.036190388932154476,0.07131581840670667,0.04974999904632568,0.02156581936038099
AMD,"Advanced Micro Devices, Inc.",516.13,842569351168.0,3.93,15.51049,131.3308,33.276188,0.49,20.398724,0.007614360723073645,0.0300515180284037,0.04974999904632568,-0.019698481017921984
AVGO,Broadcom Inc.,361.99,1728006324224.0,7.83,19.38391,46.231163,18.674767,0.36,19.39314,0.02163043177988342,0.05354819193900384,0.04974999904632568,0.0037981928926781594
NFLX,"Netflix, Inc.",77.4,322288943104.0,3.18,3.82091,24.339622,20.256954,1.41,6.662887,0.04108527131782946,0.049365762273901805,0.04974999904632568,-0.00038423677242387794
