Ticker,Company,Price,Market Cap,TTM EPS,Forward EPS,TTM PE,Forward PE,PEG,PS,EP,Forward EP,10Y Yield,ERP
GOOG,Alphabet Inc.,318.34,3884566970368.0,19.93,14.75247,15.972905,21.578758,1.36,8.712409,0.062606018722121,0.04634186718602752,0.04703000068664551,-0.0006881335006179851
MSFT,Microsoft Corporation,381.58,2834542100480.0,16.78,19.37881,22.740166,19.690578,1.23,8.906009,0.04397505110330731,0.050785706798050216,0.04703000068664551,0.0037557061114047094
META,"Meta Platforms, Inc.",606.1,1538538340352.0,27.47,37.01198,22.06407,16.375778,0.94,7.157224,0.045322554033987786,0.061065797723148,0.04703000068664551,0.014035797036502491
AMZN,"Amazon.com, Inc.",233.66,2513506402304.0,8.35,9.91676,27.983232,23.56213,1.3,3.383936,0.035735684327655566,0.04244098262432595,0.04703000068664551,-0.0045890180623195595
AAPL,Apple Inc.,321.66,4724335050752.0,8.25,9.64125,38.98909,33.362896,2.64,10.464988,0.025648199962693526,0.029973419138220478,0.04703000068664551,-0.01705658154842503
NVDA,NVIDIA Corporation,208.76,5056375554048.0,6.53,12.86903,31.96937,16.22189,0.57,19.946962,0.031279938685571954,0.06164509484575589,0.04703000068664551,0.014615094159110387
AMD,"Advanced Micro Devices, Inc.",539.69,880018849792.0,2.98,13.49207,181.10402,40.000534,1.28,,0.005521688376660675,0.024999666475198724,0.04703000068664551,-0.022030334211446782
AVGO,Broadcom Inc.,392.47,1867207540736.0,5.99,19.46067,65.520874,20.167343,0.43,24.742697,0.015262313043035136,0.0495851147858435,0.04703000068664551,0.0025551140991979943
NFLX,"Netflix, Inc.",68.89,286853791744.0,3.18,3.81314,21.66352,18.066475,1.54,5.930313,0.046160545797648424,0.055351139497750036,0.04703000068664551,0.00832113881110453
