Ticker,Company,Price,Market Cap,TTM EPS,Forward EPS,TTM PE,Forward PE,PEG,PS,EP,Forward EP,10Y Yield,ERP
GOOG,Alphabet Inc.,370.73,4523859902464.0,13.11,14.48061,28.278416,25.601824,1.41,10.707411,0.035362662854368405,0.03905972001186848,0.04425999641418457,-0.005200276402316094
MSFT,Microsoft Corporation,392.565,2916143595520.0,16.79,19.3459,23.38088,20.291897,1.2,9.162397,0.042769987135888324,0.0492807560531377,0.04425999641418457,0.005020759638953126
META,"Meta Platforms, Inc.",594.75,1509727272960.0,27.48,36.24596,21.643013,16.408726,0.82,7.023196,0.04620428751576293,0.06094318621269441,0.04425999641418457,0.016683189798509836
AMZN,"Amazon.com, Inc.",247.55,2662922452992.0,7.77,9.85996,31.859716,25.106594,1.83,3.585095,0.03138759846495657,0.039830175722076346,0.04425999641418457,-0.004429820692108226
AAPL,Apple Inc.,298.84,4389169266688.0,8.27,9.59499,36.135426,31.14542,2.35,9.722554,0.027673671529915674,0.03210744880203453,0.04425999641418457,-0.012152547612150039
NVDA,NVIDIA Corporation,209.58,5076237156352.0,6.52,12.72715,32.144173,16.46716,0.63,20.025314,0.031109838725069183,0.06072693005057734,0.04425999641418457,0.016466933636392768
AMD,"Advanced Micro Devices, Inc.",524.43,855135879168.0,3.01,13.1035,174.22923,40.02213,1.23,22.83163,0.005739564860896593,0.02498617546669718,0.04425999641418457,-0.01927382094748739
AVGO,Broadcom Inc.,379.26,1804359958528.0,6.03,19.35046,62.895523,19.599535,0.69,23.909891,0.01589938300901756,0.05102162105152139,0.04425999641418457,0.006761624637336816
NFLX,"Netflix, Inc.",78.5899,330926227456.0,3.1,3.84196,25.35158,20.455679,1.58,7.0575023,0.03944527222963765,0.04888618003076731,0.04425999641418457,0.004626183616582735
