Ticker,Company,Price,Market Cap,TTM EPS,Forward EPS,TTM PE,Forward PE,PEG,PS,EP,Forward EP,10Y Yield,ERP
GOOG,Alphabet Inc.,350.87,4291117187072.0,19.94,14.88187,17.596289,23.57701,1.25,9.624231,0.05683016501838288,0.042414198991079316,0.04963000297546387,-0.007215803984384553
MSFT,Microsoft Corporation,501.61,3724727812096.0,17.97,23.67588,27.913746,21.18654,1.6,11.224503,0.03582464464424553,0.04719977671896493,0.04963000297546387,-0.0024302262564989408
META,"Meta Platforms, Inc.",741.245,1888326254592.0,26.56,34.83968,27.908321,21.275885,0.88,8.27317,0.035831607633103765,0.04700157168007879,0.04963000297546387,-0.002628431295385078
AMZN,"Amazon.com, Inc.",258.45,2787722657792.0,12.43,10.38846,20.792439,24.878569,1.51,3.593908,0.048094408976591216,0.04019524085896692,0.04963000297546387,-0.00943476211649695
AAPL,Apple Inc.,338.98,4947135430656.0,8.71,9.5886,38.918484,35.352398,2.7,10.597455,0.025694731252581274,0.028286624579621215,0.04963000297546387,-0.021343378395842653
NVDA,NVIDIA Corporation,227.38,5490544738304.0,7.91,15.68263,28.745892,14.498844,0.47,18.122404,0.034787580262116286,0.0689710176796552,0.04963000297546387,0.019341014704191334
AMD,"Advanced Micro Devices, Inc.",615.52,1004821020672.0,3.92,15.57069,157.02042,39.53068,0.57,24.32686,0.0063685989082401875,0.02529680595269041,0.04963000297546387,-0.024333197022773458
AVGO,Broadcom Inc.,362.66,1731204612096.0,7.83,19.38391,46.31673,18.709333,0.35,19.429033,0.021590470413059063,0.05344926377323112,0.04963000297546387,0.003819260797767253
NFLX,"Netflix, Inc.",73.36,305466605568.0,3.18,3.81882,23.069181,19.210123,1.23,6.315108,0.04334787350054526,0.05205588876772083,0.04963000297546387,0.002425885792256964
