Ticker,Company,Status,Method,Data Quality,Current Price,Current TTM EPS,Current TTM PE,Historical EPS Reports Used,PE_90D_Count,PE_90D_Min,PE_90D_Max,PE_90D_Mean,PE_90D_Median,PE_90D_Std,PE_90D_P10,PE_90D_P90,PE_90D_Current_ZScore,PE_90D_Current_Percentile,Value_90D_Min,Value_90D_Max,Value_90D_Mean,Value_90D_Lower_1Std,Value_90D_Upper_1Std,Value_90D_P10,Value_90D_P90,PE_180D_Count,PE_180D_Min,PE_180D_Max,PE_180D_Mean,PE_180D_Median,PE_180D_Std,PE_180D_P10,PE_180D_P90,PE_180D_Current_ZScore,PE_180D_Current_Percentile,Value_180D_Min,Value_180D_Max,Value_180D_Mean,Value_180D_Lower_1Std,Value_180D_Upper_1Std,Value_180D_P10,Value_180D_P90
GOOG,Alphabet Inc.,OK,SEC point-in-time,High,360.13,19.93,18.069744,38,62,15.988950092309926,30.437834366508152,26.207425645760136,27.309306571721848,4.161939719055196,17.930587393024467,29.49694810251895,-1.9552617757778277,0.11290322580645161,318.6597753397368,606.6260389245075,522.3139931199995,439.3665345192295,605.2614517207695,357.35660674297765,587.8741756832027,124,15.988950092309926,32.24051702254134,27.528602584551532,28.116095981368524,3.402763177815338,25.66167602014067,30.395042716229263,-2.779758123109926,0.056451612903225805,318.6597753397368,642.5535042592489,548.645049510112,480.82797937625236,616.4621196439717,511.4372030814036,605.7732013344491
MSFT,Microsoft Corporation,OK,SEC point-in-time,High,487.46,18.82,25.901169,68,62,21.00178491501581,27.454595964267064,23.996035426830733,23.735416957310267,1.4909144083113417,22.20904704502651,25.848640889194225,1.2778289367577327,0.9032258064516129,395.2535921005976,516.6954960475061,451.6053867329544,423.546377568535,479.6643958973738,417.9742653873989,486.47142153463534,124,21.00178491501581,27.454595964267064,24.382318695655318,24.56234792298503,1.3700952439311758,22.715237753731863,26.231631524119994,1.108572787966687,0.8790322580645161,395.2535921005976,516.6954960475061,458.8752378522331,433.0900453614484,484.6604303430178,427.5007745252337,493.6793052839383
META,"Meta Platforms, Inc.",OK,SEC point-in-time,High,588.77,26.57,22.159203,55,62,19.601091974431817,24.77490900213068,21.91646320421325,21.874181019176135,1.1547376335234387,20.460690030184658,23.47803555575284,0.210212076526926,0.5967741935483871,520.8010137606534,658.2693321866122,582.3204273359461,551.6390484132284,613.0018062586638,543.6405341020063,623.811404716353,124,19.601091974431817,29.312472873263886,24.276992286666918,23.360382552268526,2.8966407740114803,20.830981001420454,28.454746524036157,-0.7311190623523698,0.31451612903225806,520.8010137606534,778.8324042426215,645.03968505674,568.075939691255,722.003430422225,553.4791652077415,756.0426151436407
AMZN,"Amazon.com, Inc.",OK,SEC point-in-time,High,272.65,12.44,21.917202,68,62,21.848751936626357,32.77511961722488,29.34067078334083,29.424640892795402,2.4449205154598466,27.621172307210678,32.16949645412026,-3.0362822580122226,0.016129032258064516,271.7984740916319,407.7224880382775,364.9979445447599,334.58313333243944,395.4127557570804,343.60738350170084,400.188535889256,124,21.848751936626357,36.818687619857045,30.08759633440136,29.427033748352926,2.658569080214658,27.840458837598266,33.39428187414193,-3.073230030096366,0.008064516129032258,271.7984740916319,458.02447399102164,374.2896983999529,341.21709904208257,407.3622977578232,346.33530793972244,415.42486651432563
AAPL,Apple Inc.,OK,SEC point-in-time,High,311.0,8.72,35.66514,68,62,33.311137275603436,41.171911207296084,37.09568528056526,36.75786865825515,1.8798734468113616,35.182565315006435,40.25326744984772,-0.7609795664658974,0.25806451612903225,290.473117043262,359.01906572762186,323.4743756465291,307.08187919033406,339.8668721027242,306.79196954685614,351.00849216267216,124,31.218987959849684,41.171911207296084,35.15513028731013,34.78052823547276,2.4703607298071324,32.14202455931072,38.3756656970008,0.20645151395751402,0.6290322580645161,272.2295750098893,359.01906572762186,306.55273610534437,285.0111905414261,328.09428166926256,280.2784541571895,334.63580487784697
NVDA,NVIDIA Corporation,OK,SEC point-in-time,High,219.22,6.53,33.57121,65,62,29.098008347141793,48.11020520268654,33.61033853584111,31.91653919073925,5.015326031662925,29.987290106360064,44.697143243283634,-0.007801793062720273,0.7903225806451613,190.0099945068359,314.1596399735431,219.47551063904245,186.72543165228356,252.22558962580135,195.8170043945312,291.87234537864214,112,29.098008347141793,48.11020520268654,35.709039394538465,35.09591861647002,4.711151727763192,30.49065839641857,42.68408171984614,-0.4537806290423773,0.4375,190.0099945068359,314.1596399735431,233.18002724633618,202.41620646404255,263.9438480286299,199.10399932861327,278.7270536305953
AMD,"Advanced Micro Devices, Inc.",OK,SEC point-in-time,High,482.05,3.0,160.68333,64,62,123.92030534523619,190.4622862768955,163.49353255296595,167.49180527984117,14.294152195747236,146.1337700515497,179.41180519979508,-0.19659805733718283,0.3548387096774194,371.76091603570853,571.3868588306865,490.48059765889786,447.5981410716561,533.3630542461395,438.4013101546491,538.2354155993853,124,72.05660262197819,190.4622862768955,126.49170160207896,134.90723770099123,41.007757762557546,75.53509348743367,176.6734399013832,0.8337843925994897,0.6774193548387096,216.16980786593456,571.3868588306865,379.4751048062369,256.45183151856423,502.4983780939095,226.605280462301,530.0203197041496
AVGO,Broadcom Inc.,OK,SEC point-in-time,High,418.28,6.02,69.48173,34,62,59.97504362845778,93.87329577470153,70.87263538767327,65.33860192322692,9.742283070294231,61.91930228184147,83.47855595817344,-0.14276996240381917,0.6129032258064516,361.04976264331583,565.1172405637031,426.65326503379305,368.0047209506218,485.30180911696436,372.7541997366856,502.5409068682041,124,57.19493248774063,93.87329577470153,70.50670207580593,68.20335468156284,8.575710113525792,61.64026701509854,82.3504870676855,-0.1195203735011199,0.5564516129032258,344.31349357619854,565.1172405637031,424.4503464963517,372.82457161292643,476.0761213797769,371.0744074308932,495.7499321474667
NFLX,"Netflix, Inc.",OK,SEC point-in-time,High,74.2,3.18,23.333332,68,0,,,,,,,,,,,,,,,,,48,29.98418996456582,42.60474344487245,36.39253935480933,37.363635881144994,3.6337809745349445,30.70869506112199,40.449803469209314,-3.593834478832523,0.0,95.34972408731932,135.48308415469438,115.72827514829368,104.17285164927256,127.2836986473148,97.65365029436794,128.63037503208562
